source_reference_date,source_district_key,source_district_name,target_analysis_region_key,target_analysis_region_name,relationship_type,valid_from,mapping_rationale
2026-06-30,03459,Osnabrück,03459,OSNABRUECK,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03460,Vechta,03460,VECHTA,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03461,Wesermarsch,03461,WESERMARSCH,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,03462,Wittmund,03462,WITTMUND,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,04011,"Bremen, Stadt",04011,"BREMEN, STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,04012,"Bremerhaven, Stadt",04012,"BREMERHAVEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05111,"Düsseldorf, Stadt",05111,"DUESSELDORF, STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05112,"Duisburg, Stadt",05112,"DUISBURG,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05113,"Essen, Stadt",05113,"ESSEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05114,"Krefeld, Stadt",05114,"KREFELD,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05116,"Mönchengladbach, Stadt",05116,"MOENCHENGLADBACH,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05117,"Mülheim an der Ruhr, Stadt",05117,"MUELHEIM A.D.RUHR,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05119,"Oberhausen, Stadt",05119,"OBERHAUSEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05120,"Remscheid, Stadt",05120,"REMSCHEID,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05122,"Solingen, Klingenstadt",05122,"SOLINGEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05124,"Wuppertal, Stadt",05124,"WUPPERTAL,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05154,Kleve,05154,KLEVE,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05158,Mettmann,05158,METTMANN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05162,Rhein-Kreis Neuss,05162,NEUSS,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05166,Viersen,05166,VIERSEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05170,Wesel,05170,WESEL,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05314,"Bonn, Stadt",05314,"BONN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05315,"Köln, Stadt",05315,"KOELN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05316,"Leverkusen, Stadt",05316,"LEVERKUSEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05334,Städteregion Aachen,05334,"AACHEN, STAEDTEREGION",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05358,Düren,05358,DUEREN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05362,Rhein-Erft-Kreis,05362,RHEIN-ERFT-KREIS,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05366,Euskirchen,05366,EUSKIRCHEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05370,Heinsberg,05370,HEINSBERG,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05374,Oberbergischer Kreis,05374,OBERBERGISCHER KREIS,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05378,Rheinisch-Bergischer Kreis,05378,RHEIN.-BERGISCHER KREIS,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05382,Rhein-Sieg-Kreis,05382,RHEIN-SIEG-KREIS,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05512,"Bottrop, Stadt",05512,"BOTTROP,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05513,"Gelsenkirchen, Stadt",05513,"GELSENKIRCHEN,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05515,"Münster, Stadt",05515,"MUENSTER,STADT",one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05554,Borken,05554,BORKEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05558,Coesfeld,05558,COESFELD,one-to-one,,Current administrative district corresponds to one KBA analysis region.
2026-06-30,05562,Recklinghausen,05562,RECKLINGHAUSEN,one-to-one,,Current administrative district corresponds to one KBA analysis region.
